run_id,run_label,metric,n,mean,median,std,shapiro_w,shapiro_p,decision_alpha_0_05,null_hypothesis,reference_url,note
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,ex,200,0.51,1.0,0.501154446148563,0.636289776391478,1.980190084831751e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,ts,184,0.532608695652174,1.0,0.5002968945098628,0.6348763080347778,1.200651603125316e-19,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,va,200,0.92,1.0,0.27197398634103076,0.3002198908632069,5.381095443773481e-27,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | QLoRA | k=5,em,200,0.29,0.0,0.4549007291342079,0.5688365435830176,4.825463454767636e-22,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | QLoRA | k=5,ex,200,0.475,0.0,0.500627746637677,0.6355253483392009,1.893216197789393e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | QLoRA | k=5,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
qlorafam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | QLoRA | k=5,va,200,0.83,1.0,0.37657541771354486,0.4535761821473798,2.125483180986776e-24,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
react_exec,ReAct infra,em,20,0.35,0.0,0.4893604849295929,0.6076494081821238,3.5376569942969156e-06,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
react_exec,ReAct infra,ex,20,0.55,1.0,0.5104177855340405,0.6374819475193606,7.386868549816344e-06,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
react_exec,ReAct infra,ts,19,0.5789473684210527,1.0,0.5072572735017882,0.6325673571906272,9.683533205690447e-06,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
react_exec,ReAct infra,va,20,0.95,1.0,0.22360679774997905,0.23587389697721595,2.6930778843226267e-09,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
